                                  INSTITUTO DE EDUCACION SUPERIOR 
                            SITUACION DE LOS ALUMNOS DE LA INSTITUCION 
============================================================================================
No.   ALUMNO   ESPECIALIDAD   CREDITOS APROBADOS   PROMEDIO   % CRED.AP/CRED.MAT   SITUACION 
--------------------------------------------------------------------------------------------
  1) 19980138     2019021            21.50           14.46            68.3%         EGRESADO
  2) 20018708     2017755            32.00           13.05            64.6%         EGRESADO
  3) 20050158     2016666            29.00           12.06            55.8%         EGRESADO
  4) 20089213     1015647            22.00           12.57            64.7%      NO EGRESADO
  5) 20025448     1015647            21.00           16.29           100.0%      NO EGRESADO
  6) 20070367     1019876            20.30           13.46            77.2%      NO EGRESADO
  7) 20090907     1814356            28.50           12.75            67.9%         EGRESADO
  8) 20070612     1011234            19.00           13.30            55.1%      NO EGRESADO
  9) 20014787     2013366            26.00           12.90            61.9%         EGRESADO
 10) 20119777     1814356            25.50           13.61            66.2%         EGRESADO
 11) 19990279     2019021            28.30           15.48            86.3%         EGRESADO
 12) 20050118     1019876            31.00           13.21            63.3%         EGRESADO
 13) 20090562     2017755            24.50           13.14            86.6%         EGRESADO
 14) 20030557     2019021            22.00           15.14            86.3%         EGRESADO
 15) 20091509     2019021            18.50           12.09            60.1%         EGRESADO
 16) 20080040     2012882            29.00           14.15            79.5%         EGRESADO
 17) 20070233     2013366            22.00           14.93           100.0%         EGRESADO
 18) 20117842     2017755            16.00           13.68            68.1%      NO EGRESADO
 19) 20033687     2017755            21.00           13.13            59.2%         EGRESADO
 20) 20053556     1015647            46.30           14.95            86.9%         EGRESADO
 21) 20018262     1015647            12.00           13.82            72.7%      NO EGRESADO
 22) 20107769     2016666            31.00           12.29            88.6%         EGRESADO
 23) 20060049     1019876            20.50           12.69            63.1%      NO EGRESADO
 24) 20080454     1011234            17.00           12.29            82.9%      NO EGRESADO
 25) 20101592     1011234            34.50           16.32            89.6%         EGRESADO
 26) 20060184     1019876            27.00           12.57            62.8%      NO EGRESADO
 27) 20030082     2011010            28.80           13.79            69.7%         EGRESADO
 28) 20034596     2011010            20.50           12.37            63.1%         EGRESADO
 29) 20060934     2016666            19.00           11.28            50.0%         EGRESADO
 30) 20070269     2016666            27.50           13.80            78.6%         EGRESADO
 31) 20090798     2019021            32.50           14.05            83.3%         EGRESADO
 32) 20052063     2011010            51.30           13.46            92.8%         EGRESADO
 33) 20020189     1011234            25.00           13.91            55.6%         EGRESADO
 34) 20034115     1019876            31.00           13.44            61.4%         EGRESADO
 35) 20090929     2017755            15.50           11.27            48.4%      NO EGRESADO
 36) 20000444     1015647            21.00           14.54            73.7%      NO EGRESADO
 37) 20046733     2012882            18.00           14.94           100.0%         EGRESADO
 38) 20020384     1812211            12.00           12.19            50.0%      NO EGRESADO
 39) 20070789     2017755            20.00           12.77            64.5%         EGRESADO
 40) 20080227     2019021            20.50           15.08            82.0%         EGRESADO
 41) 20049768     1019876            32.00           14.60            74.4%         EGRESADO
 42) 20080786     1019876            30.80           12.99            68.0%         EGRESADO
 43) 20050611     1812211            32.00           14.99            83.1%         EGRESADO
 44) 20070992     2012882            22.00           16.06            88.0%         EGRESADO
 45) 20014655     2019021            16.50           14.09            71.7%      NO EGRESADO
 46) 20000354     1814356            21.00           13.43            75.0%         EGRESADO
 47) 20080063     2012882            16.00           14.47           100.0%      NO EGRESADO
 48) 20109313     2017755            31.50           14.57            82.9%         EGRESADO
 49) 20064405     1814356            28.00           14.33            80.0%         EGRESADO
 50) 20050718     2011010            19.50           13.38            67.2%         EGRESADO
 51) 20060590     1011234            35.50           12.66            77.2%         EGRESADO
 52) 20030664     1812211            23.50           11.45            47.0%         EGRESADO
 53) 20030441     2011010             9.00           12.25            50.0%      NO EGRESADO
 54) 20010010     2013366            27.50           13.38            77.5%         EGRESADO
 55) 20100133     2011010            32.50           14.79            78.7%         EGRESADO
 56) 20070525     2016666            31.10           14.25            81.6%         EGRESADO
 57) 19980065     2017755            18.50           12.49            67.3%      NO EGRESADO
